Program Name,Administering Agency,Level,Funding Category,Short Description,Best Project Types,Best Housing Models,Best Populations Served,Typical Affordability Levels,Typical Award Size,Typical Share of Capital Stack,Typical Term,Repayable,Competitive or Formula,Application Timeline,Sponsor Eligibility,Site Control Required,Nonprofit Eligible,For-Profit Eligible,Key Partners,Major Advantages,Major Limitations,Common Pairings,Development Stage,Difficulty 1-5,Flexibility 1-5,Importance for TAY Project 1-5,Confidence,Why This Fits,Watch Out For,Official Source,Technical Guide,Plain-English Explainer,Useful PDF or Handbook
Low-Income Housing Tax Credit,California Tax Credit Allocation Committee (CTCAC),Federal / State,Capital / Development Financing,Equity generated by federal and state tax credits for affordable rental housing.,"New construction, acquisition-rehab, preservation, PSH with strong subsidy.","LIHTC family, special needs, mixed-population PSH, ELI set-asides.","Low-income renters; TAY only when paired with referrals, services, and subsidy.",Usually 30%-60% AMI; deeper units need rent subsidy.,Varies by eligible basis; often the largest equity source.,30%-70% of total development cost depending on 4% vs 9% structure.,15-year federal compliance; commonly 55-year affordability in California.,"No, but equity has investor compliance obligations.",Competitive for 9%; bond-linked process for 4%.,Active 2026 cycles; 9% Round 2 due 2026-07-21; 4% Round 3 due 2026-09-08.,Project owner or partnership meeting CTCAC/CDLAC rules.,Yes,Yes,Yes,"Syndicator, investor, lender, CTCAC, CDLAC, public gap funders.",Largest scalable capital source; bankable once awarded.,"Does not solve ELI rents, services, or youth referral pipeline.","PBV, MHP, LACDA NOFA, AHTF, NPLH, HOME, CoC, DMH.",Full financing application through closing.,5,2,5,High,Best chassis for permanent TAY housing when subsidies cover deep affordability.,Youth mission must be supported by separate operating and service sources.,https://www.treasurer.ca.gov/ctcac/tax,https://www.treasurer.ca.gov/ctcac/2026/application,https://www.treasurer.ca.gov/ctcac/tax,https://www.treasurer.ca.gov/ctcac/2026/application
HOME Investment Partnerships Program,HUD; local participating jurisdictions such as LACDA,Federal / Local,Capital / Development Financing,"Federal gap funding for affordable housing, administered locally.",Gap financing for multifamily new construction or rehab.,"LIHTC rental housing, PSH, deeply affordable units with clear compliance plan.",Low-income households; TAY when units meet HOME and project targeting rules.,HOME income/rent limits; often 30%-60% AMI depending on unit mix.,Varies; LACDA annual HOME allocation around $7.4M total.,"Usually small-to-medium gap source, often under 15%.",Long affordability period; local loan term often aligned with other soft debt.,Usually repayable soft loan or deferred loan locally.,Formula to jurisdiction; competitive to projects.,Active annual allocation; in LA County generally via LACDA NOFA when available.,Local NOFA applicants meeting HOME and underwriting rules.,Usually yes,Yes,Yes,"LACDA, city/county PJ, HUD environmental review, senior lenders.",Flexible gap source that can fill difficult holes.,High compliance burden; subsidy layering and environmental timing matter.,"LIHTC, AHTF, PBV, MHP, NPLH, private debt.",Gap financing after site and concept are defined.,4,3,3,High,Can close a capital gap for TAY units in an otherwise financeable deal.,Small HOME awards can create outsized compliance costs.,https://www.lacda.org/affordable-housing/home-program,https://www.hudexchange.info/programs/home/,https://www.hudexchange.info/programs/home/,https://www.hudexchange.info/programs/home/home-final-rule/
California Multifamily Housing Program,California Department of Housing and Community Development (HCD),State,Capital / Development Financing,State deferred-payment financing for affordable multifamily rental housing.,"Supportive housing, deeply affordable rental, 4% LIHTC gap projects.","PSH, special needs, ELI units, senior/family affordable housing with deep gaps.",Low-income and special-needs households; strong fit for homeless TAY units.,Often 30%-60% AMI; special-needs units may be deeper.,Several million to tens of millions; subject to NOFA caps.,"Major soft-debt gap source, often 10%-35%.",55 years commonly used for state affordability.,"Yes, usually deferred-payment residual receipts loan.",Competitive NOFA.,Current 2026 MHP Gap materials posted; window status can close quickly; monitor HCD.,Qualified developers and owners meeting HCD guidelines.,Yes,Yes,Yes,"HCD, tax credit investor, CDLAC/CTCAC, local gap lenders.",Large state gap source; can support special-needs operating reserves.,"Competitive, complex, and timing-sensitive with bond/credit cycles.","4% LIHTC, PBV, LACDA NOFA, NPLH, HOME, private debt.",Advanced predevelopment through construction finance closing.,5,2,4,High,Strong gap source for PSH or deeply affordable youth-serving buildings.,Must align HCD timing with tax-exempt bond and 4% credit schedule.,https://www.hcd.ca.gov/funding/mhp,https://www.hcd.ca.gov/funding/supernofa,https://www.hcd.ca.gov/funding/mhp,https://www.hcd.ca.gov/sites/default/files/docs/grants-and-funding/supernofa/2025-mhp-guidelines.pdf
Homekey / Homekey+,California HCD with public entity applicants,State / Local,Capital / Development Financing,Rapid production funding for PSH and conversions; current pathway is Homekey+.,"Adaptive reuse, acquisition-rehab, motel/hotel conversion, PSH new construction.",Permanent supportive housing with public sponsor and services plan.,People homeless or at risk with behavioral health challenges; may include TAY.,Deeply affordable PSH; 55-year affordability for Homekey+ PSH.,Varies widely; can fund capital and capitalized operating subsidy.,Can be dominant source for acquisition/conversion; lower for gap-only uses.,55-year affordability for Homekey+ PSH.,Often grant or forgivable structure; check NOFA and standard agreement.,Over-the-counter / competitive until funds expended.,Homekey+ application window open and ongoing until funds are expended.,Public entities and tribes; may apply jointly with nonprofit or for-profit co-applicants.,Yes or clear path to control,"Yes, usually as co-applicant","Yes, usually as co-applicant","City, county, housing authority, HCD, service provider, operator.","Fast, large, and can include operating subsidy for PSH.",Public agency partner is usually essential; target population is narrower under Homekey+.,"BHSA, DMH, PBV, local services, philanthropy, county operating funds.",Site acquisition through rapid closing.,5,3,4,High,Strong for TAY PSH if youth also meet behavioral health and homelessness criteria.,Do not treat legacy Homekey as a normal annual soft-loan program.,https://www.hcd.ca.gov/funding/homekey-plus,https://www.hcd.ca.gov/grants-and-funding/homekey-plus/timeline-and-eligibility,https://www.hcd.ca.gov/funding/homekey-plus,https://www.hcd.ca.gov/funding/homekey-plus
Los Angeles County Development Authority Multifamily NOFA,Los Angeles County Development Authority (LACDA),County,Capital / Development Financing,County competition for capital funds and PBVs in LACDA jurisdiction.,New construction and acquisition-rehab outside City of Los Angeles.,"General affordable, special needs, PSH, TAY set-aside within larger project.","Low-income, special-needs, homeless, and extremely low-income households.",Includes required 30% AMI set-asides; broader mix often 30%-80% AMI.,Round 32 offered up to $90M total and up to $10M AHTF per project.,Major local gap source; often 10%-30% plus PBV value.,Long-term soft loan and affordability covenant.,"Yes, typically soft debt / residual receipts.",Competitive NOFA.,Round 32 released 2026-04-23; applications due 2026-06-08; review active into July.,Experienced affordable housing owners/developers meeting threshold requirements.,Yes,Yes,Yes,"LACDA, service provider, PHA Section 8 team, tax credit team, local jurisdiction.",Local capital plus PBV path in one application.,Not for City of Los Angeles sites; competitive and readiness-heavy.,"LIHTC, AHTF, PBV, HOME, NPLH, MHP, DMH.",Advanced predevelopment with site control.,5,3,5,High,Primary county-side doorway for local capital and project-based subsidy.,Wrong front door for sites inside the City of Los Angeles.,https://www.lacda.org/affordable-housing,https://www.lacda.org/docs/librariesprovider25/affordable-housing-programs/multifamily-rental-housing---nofa/nofa32/nofa-round-32-guidelines.pdf?sfvrsn=62fad0e4_1,https://www.lacda.org/affordable-housing,https://www.lacda.org/docs/librariesprovider25/affordable-housing-programs/multifamily-rental-housing---nofa/nofa32/nofa-round-32-term-sheet.pdf?sfvrsn=5217b0ba_1
Los Angeles County Housing Innovation Fund,LACDA with lending partners,County / Private Lending Partnership,Capital / Development Financing,Revolving acquisition and predevelopment loan fund for affordable housing.,"Site acquisition, predevelopment, bridge financing before public awards.","Affordable rental, PSH, acquisition-rehab, adaptive reuse pipeline projects.",Low-income and special-needs households depending on final project financing.,Depends on final permanent sources; often 30%-80% AMI.,Fund size about $70M; loan size varies by lender and deal.,"Early-stage bridge source, not permanent stack.",Short-term acquisition/predevelopment loan.,Yes,Lender-driven / availability-based.,Active revolving fund; intake depends on lending partners and fund capacity.,Qualified affordable housing sponsors with viable takeout plan.,Target site required,Yes,Yes,"LACDA, Genesis LA, CDFIs, senior lender, public takeout funder.",Moves faster than annual NOFA cycles for site control.,Requires credible permanent financing takeout; not a subsidy source.,"LACDA NOFA, LIHTC, AHTF, MHP, PBV, philanthropy.",Acquisition and predevelopment.,3,4,3,Medium,Useful to secure TAY-appropriate sites before public funding cycles.,Bridge debt can create pressure if NOFA or tax credit timing slips.,https://www.lacda.org/affordable-housing/la-county-housing-innovation-fund,https://www.lacda.org/affordable-housing/la-county-housing-innovation-fund,https://www.lacda.org/affordable-housing/la-county-housing-innovation-fund,https://www.lacda.org/affordable-housing/la-county-housing-innovation-fund
Los Angeles County Affordable Housing Trust Fund,County of Los Angeles / LACDA,County,Capital / Development Financing,County soft-capital source commonly deployed through LACDA NOFA.,County affordable housing new construction and acquisition-rehab.,"General affordable, PSH, mixed-population, special needs.",Low-income households; special-needs and homeless populations when prioritized.,Often includes 30% AMI units; broader project mix can extend higher.,Round 32 AHTF cap listed at $10M per project.,"Major local gap source, often 10%-30%.",Long-term affordability covenant and soft loan term.,"Yes, typically soft loan.",Competitive through NOFA.,Active via LACDA NOFA cycles; Round 32 applications due 2026-06-08.,Affordable housing developers meeting LACDA NOFA rules.,Yes,Yes,Yes,"LACDA, County CEO, tax credit team, public lenders, service provider.",Core LA County soft debt; highly relevant to local deals.,Geography and NOFA timing control access.,"LIHTC, PBV, HOME, MHP, NPLH, private debt.",Advanced predevelopment and full financing application.,4,3,4,High,Can serve as local gap capital for youth-serving affordable housing.,"Usually accessed through NOFA, not as a free-standing application.",https://www.lacda.org/affordable-housing,https://www.lacda.org/docs/librariesprovider25/affordable-housing-programs/multifamily-rental-housing---nofa/nofa32/nofa-round-32-guidelines.pdf?sfvrsn=62fad0e4_1,https://www.lacda.org/affordable-housing,https://www.lacda.org/docs/librariesprovider25/affordable-housing-programs/multifamily-rental-housing---nofa/nofa32/nofa-round-32-term-sheet.pdf?sfvrsn=5217b0ba_1
No Place Like Home,California HCD; Los Angeles County through LACDA and LACDMH,State / County,Capital / Development Financing,Capital financing for PSH serving people with serious mental illness and homelessness risk.,Permanent supportive housing with behavioral health targeting.,"PSH, integrated special-needs units, service-rich LIHTC buildings.",Homeless or at-risk people needing mental health services; eligible TAY subset.,"Deeply affordable PSH, commonly 30% AMI or below with subsidy.",Varies by county allocation and project; often large soft-debt gap source.,"Major special-needs gap source, often 10%-30%.","Long-term PSH affordability, often 55 years.","Yes, usually deferred/residual-receipts loan.",County allocation and competitive project selection.,Active program; local availability through county/HCD NOFA cycles.,Qualified PSH sponsors with county mental health partnership.,Yes,Yes,Yes,"LACDMH, LACDA, HCD, service provider, PBV administrator.",Very strong fit for clinically targeted TAY PSH.,Not a general homeless youth source; behavioral health eligibility is central.,"LIHTC, PBV, LACDA NOFA, DMH contracts, MHP, philanthropy.",Advanced PSH concept through permanent financing.,5,2,4,High,Best for TAY projects intentionally serving youth with serious behavioral health needs.,"Clinical referral and service infrastructure must be real, not appended later.",https://www.hcd.ca.gov/funding/nplh,https://www.lacda.org/affordable-housing/no-place-like-home,https://www.hcd.ca.gov/funding/nplh,https://www.lacda.org/docs/librariesprovider25/affordable-housing-programs/multifamily-rental-housing---nofa/nofa32/7-lacda-underwriting-guidelines.pdf?sfvrsn=5dc37220_1
Housing Choice Voucher,HUD through local Public Housing Agencies,Federal / Local,Rental Subsidies,Tenant-based Section 8 rent assistance that follows the household.,"Scattered-site leasing, lease-up support, move-up strategies.","Tenant-based rental housing, landlord partnership, scattered-site TAY units.",Low-income households with vouchers; TAY when eligible through PHA pathways.,Tenant generally pays income-based rent; subsidy covers approved gap.,Per-household monthly subsidy; not a project award.,Not capital; weak for permanent debt sizing.,Annual PHA funding; assistance continues while tenant remains eligible.,No,Formula to PHA; waitlist/referral to households.,Active ongoing PHA program; waitlists and preferences vary by PHA.,Household receives voucher; owner participates as landlord.,No,"Yes, as landlord","Yes, as landlord","LACDA, HACLA, other PHAs, landlord, service provider.",Portable and valuable for individual youth stability.,Not dependable project revenue unless project-based.,"FYI, FUP, LAHSA navigation, philanthropy, landlord incentives.",Lease-up and operations.,3,4,3,High,Good for scattered-site TAY housing and youth transitions from programs.,Do not underwrite a new building assuming tenant-based vouchers will appear.,https://www.hud.gov/helping-americans/housing-choice-vouchers,https://www.hud.gov/program_offices/public_indian_housing/programs/hcv,https://www.hud.gov/helping-americans/housing-choice-vouchers,https://www.hud.gov/program_offices/public_indian_housing/programs/hcv
Project-Based Voucher,HUD through local Public Housing Agencies,Federal / Local,Rental Subsidies,Voucher subsidy attached to specific units under a HAP contract.,"New construction, rehab, PSH, deeply affordable LIHTC units.","Project-based supportive housing, ELI units, mixed-income LIHTC with set-asides.",ELI households; homeless and special-needs TAY when preferences/referrals align.,Often 30% AMI or income-based tenant payment.,Monthly rental assistance per contracted unit; project value depends on rents and term.,"Not capital, but can materially size permanent debt.",Initial HAP contract term often long-term subject to PHA rules.,No,Competitive PHA selection unless noncompetitive pathway applies.,Active via PHA processes; LACDA Round 32 included up to 300 PBVs with capital requests.,Owner/developer selected by PHA and meeting PBV requirements.,Yes,Yes,Yes,"PHA, LACDA or HACLA, property owner, service provider, lender, investor.",Most underwritable rental subsidy for deeply affordable TAY units.,"PHA cap, procurement, inspections, subsidy layering, and jurisdiction limits.","LIHTC, LACDA NOFA, AHTF, NPLH, HOME, MHP, DMH.",Financing application through lease-up.,4,3,5,High,Turns extremely low-income youth units into financeable project revenue.,Tenant-based vouchers are not the same as PBVs for underwriting.,https://www.hud.gov/helping-americans/housing-choice-vouchers-project,https://www.ecfr.gov/current/title-24/subtitle-B/chapter-IX/part-983,https://www.hud.gov/helping-americans/housing-choice-vouchers-project,https://www.lacda.org/section-8/project-based-vouchers
